enrollment_id,user_id,course_name,enrolled_date,completed,completion_date
1,1,Python for Data,2024-01-20,true,2024-02-10
2,1,SQL Fundamentals,2024-02-15,true,2024-03-01
3,2,Python for Data,2024-02-05,false,
4,3,SQL Fundamentals,2024-02-20,true,2024-03-15
5,3,Data Visualization,2024-03-01,true,2024-03-28
6,4,Python for Data,2024-03-12,false,
7,5,SQL Fundamentals,2024-03-25,true,2024-04-10
8,5,Data Visualization,2024-04-01,true,2024-04-20
9,5,Python for Data,2024-04-05,true,2024-04-30
10,6,Data Visualization,2024-04-10,false,
11,7,SQL Fundamentals,2024-04-20,false,
12,8,Python for Data,2024-05-08,true,2024-05-25
13,8,Data Visualization,2024-05-10,true,2024-05-28
14,2,Data Visualization,2024-05-15,false,
15,6,Python for Data,2024-05-20,true,2024-06-10
